,Worker,Job Profile,Department,Cross Appointments,IQC,CAMJ,CPTT,Climate,IPR,WCA,CTN,Game,WAT.AI,GHPI,WISA,MICRO,WISE,CCMIC,CPI,WICI,WIN,Water,CBB
76,Meiyappan Nagappan,Associate Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
77,Nancy Day,Associate Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
78,Naomi Nishimura,Associate Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
79,Peter Buhr,Associate Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
80,Richard Mann,Associate Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
81,Richard Peng,Associate Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
82,Richard Trefler,Associate Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
83,Samer Al Kiswany,Associate Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
84,Semih Salihoglu,Associate Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
85,Sergey Gorbunov,Associate Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
86,Shane McIntosh,Associate Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
87,Toshiya Hachisuka,Associate Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
88,Urs Hengartner,Associate Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
89,Yaoliang Yu,Associate Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
110,Anna Lubiw,Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
111,Bin Ma,Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
112,Charles Clarke,Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
113,Daniel Berry,Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
114,Daniel Brown,Professor,Cheriton School of Computer Science,BIOL,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
